1 10000 6.00144
1 10000 6.20411
1 10000 6.79079
2 10000 4.81055
2 10000 3.40773
2 10000 3.41207
3 10000 3.41108
3 10000 3.49939
3 10000 3.39249
4 10000 2.86304
4 10000 2.98162
4 10000 2.95968
1 100000 60.0599
1 100000 60.1076
1 100000 60.036
2 100000 34.8943
2 100000 36.5187
2 100000 38.2274
3 100000 37.4105
3 100000 37.4843
3 100000 38.0531
4 100000 33.1756
4 100000 33.2789
4 100000 33.2755
1 110000 66.2802
1 110000 66.0793
1 110000 66.0523
2 110000 41.4883
2 110000 52.053
2 110000 43.8193
3 110000 43.4838
3 110000 45.9862
3 110000 45.585
4 110000 43.374
4 110000 39.7644
4 110000 40.3878
1 120000 80.6733
1 120000 77.191
1 120000 73.091
2 120000 64.1928
2 120000 60.8161
2 120000 55.8396
3 120000 49.5131
3 120000 49.7637
3 120000 48.9864
4 120000 41.8641
4 120000 41.5675
4 120000 41.7263
1 130000 81.3244
1 130000 80.5799
1 130000 83.2762
2 130000 64.9911
2 130000 49.0326
2 130000 54.8424
3 130000 49.8838
3 130000 51.0489
3 130000 50.3546
4 130000 45.8728
4 130000 44.6494
4 130000 44.4725
